Catalog #,Title,Composer,Performer,Genre,Label,Date,Media Type,RPM,Comments
HSTR    5111,,,,,RCA VICTOR,1950,,,"HARP BY HARPO
MARX, HARPO (HARPIST).
RAYMOND SINATRA'S ORCHESTRA AND CHORUS. SINATRA, RAYMOND (CONDUCTOR). RCA VICTOR WP 329. 45 RPM. ORANGE AND BLACK BOX. INSCRIBED ""TO BESS/FONDLY,/HARPO"". a-BOX, b-FLYER, c-e-DISKS, f-h-DIVIDERS. SEE CATALOG FOLDER."
HSTR    5113,,,,,AUDIO BOOK COMPANY,1954,,,"AUDIO BOOK OF FAMOUS POEMS, THE MILLER, MARVIN (READER). ""74 GREAT POEMS BY 38 GREAT AUTHORS"". AUDIO BOOKS AB-1001-1008. 16.66 RPM. WHITE SPINE. GRAY, BLACK AND RED COVER. DISCS HAVE BLUE LABELS. a-ALBUM, b-e-DISCS."
HSTR    5114,,,,,AUDIO BOOK COMPANY,1956,,,"TRIAL OF SOCRATES, THE MITCHELL, THOMAS (READER). AUDIO BOOKS GL-604. 16.66 RPM. WHITE SPINE. YELLOW AND GRAY COVER. a-ALBUM, b-d-DISCS."
HSTR    5115,,,,,RCA VICTOR,,,,"GEMS FROM SIGMUND ROMBERG SHOWS ROWE, GENEVIEVE (SOPRANO), LILLIAN CORNELL (MEZZO-SOPRANO), LAWRENCE BROOKS (BARITONE). ROMBERG, SIGMUND (CONDUCTOR). RCA VICTOR WDM-1256. 45 RPM. BLACK SPINE. PINK COVER. a-BOX, b-e-DISCS, f-i-SLEEVES."
HSTR    5116,,,,,BRUNSWICK RADIO CORP.,1959,,,"MISSOURI WALTZ / CINCINNATI RAG LITTLE, ""BIG"" TINY (PIANO) WITH ORCHESTRA. BRUNSWICK 9-55143. LIKELY 45 RPM. YELLOW DISC LABELS. BROWN PAPER ""BRUNSWICK"" SLEEVE. a-DISC, b-SLEEVE. CONTAINED #5117 (LETTER)."
HSTR    5118,,,,,TURKISH INFORMATION OFFICE,,,,"SEASON'S GREETINGS FROM TURKEY MUSIC BY TURKISH COMPOSERS. TIO-1 AND TIO-2. LIKELY 45 RPM. RED JACKET HAS PORTRAIT OF SANTA CLAUS, PHOTO OF ""CHURCH OF SANTA CLAUS"". a-DISC, b-JACKET."
HSTR    5119,,,,,RCA VICTOR,,,,"GUYS AND DOLLS - SELECTIONS VARIOUS SOLOISTS. THE GUILD CHORISTERS WITH ORCHESTRA. GOODMAN, AL (CONDUCTOR). RCA VICTOR WK-27. 45 RPM. BLACK SPINE. PINK COVER. a-BOX, b-e-DISCS, f-i-SLEEVES."
HSTR    5120,,,,,RCA VICTOR,,,,"TREASURY OF IMMORTAL PERFORMANCES: FOLK SINGERS AUSTIN, GENE, VERNON DALHART AND JIMMIE RODGERS (VOCALS). RCA VICTOR WPT-6. 45 RPM. GREEN AND SILVER COVER. a-BOX, b-PROGRAM, c-e-DISCS, f-h-SLEEVES."
HSTR    5121,,,,,RCA VICTOR,1969,,,"BOB RALSTON PLAYS HIS MOST REQUESTED SONGS RALSTON, BOB (ORGANIST)  ""TO PRESIDENT AND MRS. HARRY S. TRUMAN/ WITH HIGH REGARD, BOB RALSTON"" FOUND #29126 (CARD) TAPED TO BACK COVER. RCA VICTOR LSP-3598 (STEREO), 1 DISC, 33 1/3 RPM, IN JACKET COVERED WITH PLASTIC."
HSTR    5123,,,,,20TH CENTURY FOX RECORDS,,,,"DARRYL F. ZANUCK'S ""THE LONGEST DAY"" (ORIGINAL FILM SOUNDTRACK) THOMAS, LOWELL AND 42 CAST MEMBERS OF THE MOTION PICTURE (NARRATORS)   a-JACKET, b-RECORD (IN SLEEVE) 20TH CENTURY FOX RECORDS FXG 5007 (MONO), 1 DISC, 33 1/3 RPM, IN SLEEVE INSIDE JACKET."
HSTR    5124,,,,,RCA VICTOR,1950,,,"AMERICAN SONGS TRUMAN, MARGARET (SOPRANO) WITH THE ROBERT SHAW CHORALE. SHAW, ROBERT (CONDUCTOR).  RCA VICTOR LM-57. 33.3 RPM. 10"" DISC. YELLOW COVER WITH NEEDLEPOINT DESIGN. a-DISC, b-JACKET. TOP EDGE OF JACKET SPLIT. PAPER YELLOWED."
HSTR    5125,,,,,COLUMBIA RECORDS,1946,,,"PIANO MUSIC OF CHOPIN. JONAS, MARYLA (PIANIST). COLUMBIA MASTERWORKS ML 2004. 33.3 RPM. 10"" DISC. HEAVY PAPER SLEEVE. SLEEVE IS BLUE AND WHITE WITH BLACK PRINTING. NO JACKET. a-DISC, b-SLEEVE. PAPER YELLOWED."
HSTR    5126,,,,,COLUMBIA RECORDS,,,,"MOZART: SYMPHONY NO. 40 IN G MINOR. PITTSBURGH SYMPHONY ORCHESTRA. REINER, FRITZ (CONDUCTOR). COLUMBIA MASTERWORKS ML 2008. 33.3 RPM. 10"" DISC IN HEAVY PAPE SLEEVE. NO JACKET. BLUE AND WHITE COVER WITH BLACK PRINTING. a-DISC, b-SLEEVE. PAPER YELLOWED AND WORN."
HSTR    5127,,,,,COLUMBIA RECORDS,1951,,,"CLAUDE THORNHILL ENCORES. THORNHILL, CLAUDE AND HIS ORCHESTRA. COLUMBIA CL 6164. 10"" DISC. UNKNOWN RPM. GREEN AND BLACK COVER. ON ADHESIVE LABEL AT TR, BACK: ""3.00"". a-DISC, b-JACKET. PAPER YELLOWED."
HSTR    5128,,,,,COLUMBIA RECORDS,1951,,,"YOUR DANCE DATE WITH PAUL WESTON. WESTON, PAUL AND HIS ORCHESTRA. COLUMBIA CL 6162. UNKNOWN RPM. GREEN COVER WITH BLACK AND YELLOW PRINTING. ""COPYRIGHT 1951"" PRINTED ON FRONT COVER AT BC. a-DISC, b-JACKET. PAPER YELLOWED."
HSTR    5129,,,,,MERCURY RECORDS,,,,"RICHARD STRAUSS: DON JUAN, SYMPHONIC POEM, OP. 20 / TCHAIKOVSKY: OVERTURE 1812. AMSTERDAM CONCERTGEBOUW ORCHESTRA. MENGELBERG, WILLEM (CONDUCTOR). MERCURY MG 15000. 33.3 RPM. GREEN JACKET WITH GILT LETTERING. a-DISC, b-JACKET. PAPER YELLOWED."
HSTR    5130,,,,,LONDON GRAMOPHONE CORP.,1950,,,"LATIN-AMERICAN RHYTHMS. ROS, EDMUNDO AND HIS ORCHESTRA. LONDON LPB 155. 10"" DISC. 33.3 RPM. GREEN COVER WITH PICTURE OF RED MARACAS. NO SLEEVE. ""COPYRIGHT 1950"" PRINTED ON JACKET BR CORNER. ON LABEL: ""3.95"". a-DISC. b-JACKET. EDGES AND CORNERS WORN."
HSTR    5131,,,,,LONDON GRAMOPHONE CORP.,1950,,,"VICTOR HERBERT MELODIES. MUNRO, RONNIE AND HIS ORCHESTRA. LONDON LPB 164. 33.3 RPM. 10"" DISC. NO SLEEVE. WHITE COVER WITH RED AND BLACK PRINTING. ""COPYRIGHT 1950"" PRINTED ON BACK, BR CORNER OF JACKET. a-DISC, b-JACKET. PAPER YELLOWED."
HSTR    5132,,,,,DECCA RECORDS,,,,"JEROME KERN MELODIES. THE DECCA SALON ORCHESTRA. HORLICK, HARRY (CONDUCTOR). DECCA DL 5078. 10"" DISC. 33.3 RPM. GREEN JACKET WITH WHITE, BLACK, AND YELLOW PRINTING. a-DISC, b-JACKET. PAPER YELLOWED."
HSTR    5133,,,,,DECCA RECORDS,1950,,,"VICTOR YOUNG AND HIS CONCERT ORCHESTRA, VOLUME 2. YOUNG, VICTOR. DECCA DL 5265. 33.3 RPM. 10"" DISC. NO SLEEVE. PURPLE AND BLACK COVER. ""COPYRIGHT 1950"" PRINTED ON FRONT COVER AT BL. a-DISC, b-JACKET. EDGES AND CORNERS WORN. PAPER YELLOWED."
HSTR    5134,,,,,MGM RECORDS,,,,"DAVID ROSE SERENADES. ROSE, DAVID AND HIS ORCHESTRA. M-G-M RECORDS E-515. 33.3 RPM. 10"" DISC. NO SLEEVE. PINK COVER WITH BLACK AND WHITE PRINTING. ON ADHESIVE LABEL ON BACK, TR: ""3--"".  a-DISC, b-JACKET. PAPER YELLOWED."
HSTR    5135,,,,,COLUMBIA RECORDS,,,,"OSCAR LEVANT PLAYS POPULAR MODERNS. LEVANT, OSCAR (PIANIST). COLUMBIA ML 2018. 33.3 RPM. NO SLEEVE. BROWN AND WHITE COVER WITH BLACK PRINTING.  a-DISC, b-JACKET. PAPER YELLOWED."
HSTR    5136,,,,,COLUMBIA RECORDS,1949,,,"DO YOU REMEMBER? GOULD, MORTON AND HIS ORCHESTRA. COLUMBIA ML 2028. 10"" DISC. 33.3 RPM. NO SLEEVE. GREEN COVER WITH BLACK PRINTING.  a-DISC, b-JACKET. COVER WORN. PAPER YELLOWED."
HSTR    5137,,,,,DECCA RECORDS,1950,,,"APRIL IN PARIS YOUNG, VICTOR AND HIS SINGING STRINGS. DECCA DL 5259. 33.3 RPM. 10"" DISC. NO SLEEVE. ORANGE, YELLOW AND BLUE COVER WITH BLACK PRINTING. a-DISC, b-JACKET. PAPER YELLOWED."
HSTR    5138,,,,,DECCA RECORDS,1950,,,"SOUTH PACIFIC (RODGERS AND HAMMERSTEIN) / KISS ME KATE (COLE PORTER). NEW QUEENS HALL ORCHESTRA. LEVY, LOUIS (CONDUCTOR). DECCA DL 7009. 33.3 RPM. 10"" DISC. PINK AND GREEN COVER WITH WHITE LETTERING. ""COPYRIGHT 1950"" PRINTED ON FRONT COVER AT BL. a-DISC, b-JACKET. PAPER YELLOWED."
HSTR    5139,,,,,CAPITOL RECORDS,,,,"TCHAIKOVSKY: NUTCRACKER SUITE. FRENCH NATIONAL SYMPHONY ORCHESTRA. DESORMIERE, ROGER (CONDUCTOR). CAPITOL L-8141. 10"" DISC. 33.3 RPM. IN PENCIL ON BACK, TC: ""$4.00"". a-DISC, b-JACKET. PAPER YELLOWED. SCRAPE MARKS ON BACK AT BR AND BL."
HSTR    5140,,,,,DECCA RECORDS,1949,,,"SELECTIONS FROM OKLAHOMA! (RODGERS & HAMMERSTEIN) / PORGY AND BESS (GERSHWIN). THE PHILHARMONIC ORCHESTRA OF LOS ANGELES. WALLENSTEIN, ALFRED (DIRECTOR). DECCA DL 7002. 10"" DISC. 33.3 RPM. NO SLEEVE. ORANGE AND WHITE COVER WITH BLACK PRINTING. a-DISC, b-JACKET. PAPER YELLOWED."
HSTR    5141,,,,,DECCA RECORDS,1949,,,"RADIO CITY MUSIC HALL SOUVENIR ALBUM. RADIO CITY MUSIC HALL ORCHESTRA, SOLOISTS, AND CHORUS. RAPEE, ERNO (DIRECTOR). DECCA DLP 7001. 33.3 RPM. 10"" DISC. BLUE COVER WITH RED AND WHITE PRINTING. ""COPYRIGHT 1949"" PRINTED AT BR ON FRONT COVER. a-DISC, b-JACKET. PAPER YELLOWED. TR EDGE SPLIT."
HSTR    5142,,,,,COLUMBIA RECORDS,1950,,,"YOUR DANCE DATE WITH LES BROWN. BROWN, LES AND HIS BAND OF RENOWN. COLUMBIA CL 6123. 10"" DISC. UNKNOWN RPM. GREEN COVER WITH BLACK AND PINK PRINTING. NO SLEEVE. ON LABEL ON BACK OF JACKET: ""3.00"". a-DISC, b-JACKET. PAPER YELLOWED."
HSTR    5143,,,,,RCA VICTOR,,,,"SMOKE RINGS. VARIOUS ARTISTS. RCA VICTOR LPT 13. 33.3 RPM. 10"" DISC. GREEN COVER WITH PURPLE AND BLACK PRINTING. AT TR OF JACKET BACK: ""3.15"". a-DISC, b-JACKET. SEE CATALOG FOLDER. PAPER YELLOWED. COVER WORN ALONG R EDGE."
HSTR    5144,,,,,COLUMBIA RECORDS,,,,"EDDY DUCHIN REMINISCES. DUCHIN, EDDY (PIANIST) WITH RHYTHM ACCOMPANIMENT. COLUMBIA CL 6010. 33.3 RPM. 10"" DISC. GREEN AND WHITE COVER WITH BLACK PRINTING.  a-DISC, b-JACKET. PAPER YELLOWED."
HSTR    5145,,,,,CAPITOL RECORDS,,,,"FERDE GROFE CONDUCTS HIS GRAND CANYON SUITE. GROFE, FERDE WITH THE CAPITOL SYMPHONY ORCHESTRA. CAPITOL L-270. 33.3 RPM. 10"" DISC. PICTURE OF YELLOW AND PURPLE CANYON ON COVER. NO SLEEVE. a-DISC, b-JACKET. EDGES AND CORNERS WORN."
HSTR    5146,,,,,DECCA RECORDS,1949,,,"SONGS OF DEVOTION, VOLUME ONE. WARING, FRED AND HIS PENNSYLVANIANS, GLEE CLUB, ORCHESTRA, AND SOLOISTS. DECCA DL 5061. 33.3 RPM. 10"" DISC. BLUE AND YELLOW COVER. NO SLEEVE.  a-DISC, b-JACKET. COVER, EDGES, AND CORNERS WORN."
HSTR    5147,,,,,COLUMBIA RECORDS,1951,,,"CARNEGIE POPS PROGRAM II CARNEGIE POPS ORCHESTRA. O'CONNELL, CHARLES (CONDUCTOR). COLUMBIA MASTERWORKS ML-2176. 33 RPM. BLUE, YELLOW AND GREEN COVER. a-DISC, b-JACKET. JACKET SPLITTING."
HSTR    5148,,,,,COLUMBIA RECORDS,1949,,,"STRAUSS: TILL EULENSPIEGEL AND DON JUAN CLEVELAND ORCHESTRA AND PITTSBURGH SYMPHONY ORCHESTRA. SZELL, GEORGE AND FRITZ REINER (CONDUCTORS). COLUMBIA MASTERWORKS ML-2079. 33 RPM. PINK AND WHITE COVER. a-DISC, b-JACKET."
HSTR    5149,,,,,COLUMBIA RECORDS,1949,,,"SALON MUSIC SELINSKY, WLADIMIR AND HIS SALON ORCHESTRA. COLUMBIA MASTERWORKS CL-6068. 33 RPM. PINK AND WHITE JACKET FRONT. a-DISC, b-JACKET."
HSTR    5150,,,,,IMPERIAL RECORDS,,,,"SAMBA TORRADO, JUAN (PIANO) AND ORCHESTRA. IMPERIAL FD-509. 33 RPM. PINK AND WHITE STRIPED JACKET FRONT. BLUE DISC LABELS. a-DISC, b-JACKET. ONE SIDE OF JACKET SPLIT."
HSTR    5151,,,,,COLUMBIA RECORDS,,,,"OSCAR LEVANT PLAYS POPULAR MODERNS LEVANT, OSCAR (PIANO). COLUMBIA MASTERWORKS ML-2018. 33 RPM. BLUE AND WHITE PAPER SLEEVE. a-DISC, b-SLEEVE."
HSTR    5152,,,,,DECCA RECORDS,05/4/1952,,,"RUDOLF FRIML PLAYS HIS OWN UNFORGETTABLE MELODIES
FRIML, RUDOLF (PIANO).
DECCA DL-5389. 33 RPM.
FRONT OF JACKET HAS: ""FOR/PRESIDENT TRUMAN"". DISC LABEL SIGNED IN WHITE: ""TO/PRESIDENT/TRUMAN/RUDOLF FRIML/5-4-'52"". a-DISC, b-JACKET. WHITE INK HAS FLAKED AND ADHERES TO PLAYING SURFACE."
HSTR    5153,,,,,RCA VICTOR,1951,,,"MARGARET TRUMAN IN AMERICAN SONGS TRUMAN, MARGARET (SOPRANO). ROBERT SHAW CHORALE. RCA VICTOR ORCHESTRA. SHAW, ROBERT (CONDUCTOR). RCA VICTOR LM 57. 33 1/3 RPM. YELLOW JACKET WITH NOTES ON BACK. a-JACKET, b-DISK. SEE CATALOG FOLDER AND #5098 (ALBUM)."
HSTR    5154,,,,,RCA VICTOR,,,,"WALTZES YOU SAVED FOR ME KING, WAYNE (THE ""WALTZ KING"") AND HIS ORCHESTRA. RCA VICTOR LPM-29. 33 RPM. RED, WHITE AND BLUE JACKET FRONT. a-DISC, b-JACKET."
HSTR    5155,,,,,COLUMBIA RECORDS,1949,,,"SQUARE DANCES VOLUME II LOY, LAWRENCE (CALLER). WILBUR WAITE'S POKEBERRY PROMENADERS. COLUMBIA HL-9014. 33 RPM. ORANGE AND YELLOW JACKET FRONT. SONGS INCLUDE ""HINKEY DINKEY PARLEZ-VOUS"". a-DISC, b-JACKET."
HSTR    5156,,,,,DECCA RECORDS,1949,,,"CHIFFON SWING WILLSON, MEREDITH AND HIS ORCHESTRA. DECCA DL-5074. 33 RPM. LIGHT GREEN AND WHITE JACKET FRONT. a-DISC, b-JACKET."
HSTR    5157,,,,,COLUMBIA RECORDS,1949,,,"XAVIER CUGAT DANCE PARADE CUGAT, XAVIER AND HIS ORCHESTRA. COLUMBIA CL-6077. 33 RPM. ORANGE AND YELLOW JACKET COVER. a-DISC, b-JACKET."
HSTR    5158,,,,,DECCA RECORDS,1949,,,"STEPHEN FOSTER MELODIES LONDON STRING QUARTET. DECCA DLP-5047. 33 RPM. GREEN, BROWN AND BLACK JACKET FRONT. a-DISC, b-JACKET."
HSTR    5159,,,,,COLUMBIA RECORDS,,,,"THEME SONGS VARIOUS ARTISTS. COLUMBIA RECORDS CL 6016. UNKNOWN RPM. 10"" DISC. ORANGE AND WHITE COVER WITH BLACK PRINTING. a-DISC, b-SLEEVE. SEE CATALOG FOLDER. COVERS YELLOWED. EDGES AND CORNERS WORN."
HSTR    5160,,,,,LONDON RECORDS,1950,,,"MELODY TIME. CREAN, RICHARD AND HIS ORCHESTRA. LONDON LPB 196. 33.3 RPM. 10"" DISC. NO SLEEVE. PINK AND GREEN COVER WITH BLACK PRINTING.  a-DISC, b-JACKET. PAPER YELLOWED."
HSTR    5161,,,,,DECCA RECORDS,1950,,,"MUSIC OF IRVING BERLIN, THE YORKE, PETER AND HIS CONCERT ORCHESTRA. DECCA DL-5269. 33 RPM. BLUE AND YELLOW JACKET FRONT. a-DISC, b-JACKET."
HSTR    5162,,,,,RADIOZARK ENTERPRISES,12/1950,,,"CHRISTMAS EVE / ISAIAH: CH. 40, PSALM 23. RIEPMA, REV. SEARS F. RADIOZARK. NO RECORDING NUMBER. 33.3 RPM. 10"" DISC. TYPEWRITTEN LABELS. ONE LABEL DETACHED FROM DISC. ""CHRISTMAS 1950"" TYPED ON RECORD LABEL. a-DISC, b-JACKET, c-LABEL. PAPER YELLOWED."
HSTR    5163,,,,,SCHNEIDER RECORDING STUDIO,,,,"BLUE DANUBE WALTZ / THINK OF PLEASANT THINGS RUSS CARLYLE'S ORCHESTRA. SCHNEIDER STUDIO RECORDING. 78 RPM. ORANGE DISC LABEL. BROWN PAPER ""REEVES/SOUNDCRAFT"" SLEEVE. a-DISC, b-SLEEVE."
HSTR    5164,,,,,COLUMBIA RECORDS,1951,,,"SAINT SAENS: DANSE MACABRE, OP. 40, AND LE ROUET D'OMPHALE OP. 31 / RIBAULD: LA PROCESSION NOCTURNE, OP. 6. PHILHARMONIC-SYMPHONY ORCHESTRA OF NEW YORK. DIMITRI MITROPOULOS, CONDUCTOR. COLUMBIA MASTERWORKS ML 2170. UNKNOWN RPM. NO SLEEVE. GREEN COVER WITH BLACK AND WHITE PRINTING. a-DISC, b-JACKET. PAPER YELLOWED. BR EDGE OF JACKET SPLIT."
HSTR    5165,,,,,CAPITOL RECORDS,,,,"VOICE OF THE XTABAY SUMAC, YMA (VOCAL). CAPITOL H-244. 33 RPM. JACKET FRONT HAS PHOTO OF ARTIST IN NATIVE INCA DRESS, WITH STONE ICONS. a-DISC, b-JACKET."
HSTR    5166,,,,,COLUMBIA RECORDS,1950,,,"KOSTELANETZ STRINGS. KOSTELANETZ, ANDRE AND HIS ORCHESTRA. COLUMBIA MASTERWORKS ML 2100. UNKNOWN RPM. 10"" DISC. NO SLEEVE. GREEN COVER WITH BLACK, RED, AND WHITE PRINTING. ""COPYRIGHT 1950"" PRINTED AT BL ON FRONT COVER. a-DISC, b-JACKET. PAPER YELLOWED."
HSTR    5167,,,,,COLUMBIA RECORDS,1950,,,"SYMPHONY IN BRIEF COLUMBIA SYMPHONY ORCHESTRA. O'CONNELL, CHARLES (CONDUCTOR). COLUMBIA MASTERWORKS ML-2127. NO RPM. PURPLE JACKET FRONT. a-DISC, b-JACKET."
HSTR    5168,,,,,COLUMBIA RECORDS,1950,,,"SCHUBERT MELODIES BY MAREK WEBER. WEBER, MAREK AND HIS ORCHESTRA. COLUMBIA CL 6108. UNKNOWN RPM. 10"" DISC. PINK AND WHITE COVER WITH BLACK PRINTING. ""COPYRIGHT 1950"" PRINTED AT BL ON FRONT COVER OF JACKET. ON LABEL ON BACK, TR: ""3.00"". a-DISC, b-JACKET. PAPER YELLOWED."
HSTR    5169,,,,,RCA VICTOR,,,,"JOSE ITURBI ITURBI, JOSE (PIANO). RCA VICTOR ERA-32. 45 RPM. ORANGE COVER WITH PHOTO OF ITURBI. a-DISC, b-JACKET."
HSTR    5170,,,,,COLUMBIA RECORDS,,,,"DAVID OISTRAKH AND ISAAC STERN
OISTRAKH, DAVID, AND ISAAC STERN (VIOLINS).
PHILADELPHIA ORCHESTRA. ORMANDY, EUGENE (CONDUCTOR). COLUMBIA MASTERWORKS ML-5087. NO RPM. GREASE PENCIL INSCRIPTION: ""TO PRESIDENT HARRY S. TRUMAN/A GREAT HUMAN BEING AND LEADER/ WITH RESPECT AND/ADMIRATION/ISAAC STERN"". a-DISC, b-JACKET, c-SLEEVE."
HSTR    5171,,,,,COLUMBIA RECORDS,1959,,,"PROKOFIEV: CONCERTO NO.1 AND CONCERTO NO.2 FOR VIOLIN
STERN, ISAAC (VIOLIN).
NEW YORK PHILHARMONIC. MITROPOULOS, DIMITRI AND LEONARD BERNSTEIN (CONDUCTORS). COLUMBIA MASTERWORKS ML-5243. GREASE PENCIL INSCRIPTION: ""TO PRESIDENT/HARRY S. TRUMAN/WITH RESPECT/AND AFFECTION/ISAAC STERN/1959"". a-DISC, b-JACKET, c-SLEEVE."
HSTR    5172,,,,,VANGUARD RECORDING SOCIETY,,,,"EUGENE LIST PLAYS BRAHMS LIST, EUGENE (PIANO). VANGUARD VRS-1016. NO RPM. COVER HAS BLACK AND WHITE PHOTO OF LIST AT KEYBOARD. a-DISC, b-JACKET, c-SLEEVE. SEE CATALOG FOLDER."
HSTR    5174,,,,,WDAF RADIO & TELEVISION,06/ 9/1961,,,"FEEBACK STORY, THE PRINTED ON RECORD LABEL: ""WDAF RADIO AND TELEVISION/KANSAS CITY, MO./SIGNAL HILL/THE FEE- BACK STORY/JUNE 9, 1961/CHUCKWAGON CORRAL/BENJAMIN STABLES/KANSAS CITY, MO./M/C/ EDDIE JESTER"". ON SLEEVE: ""TO/PRESIDENT & MRS.HARRY S. TRUMAN/FROM/THE FEEBACK FAMILY"". a-DISC, b-SLEEVE. YELLOWED. NO LABEL ON SIDE 2."
HSTR    5175,,,,,COLUMBIA RECORDS,1949,,,"CARNEGIE POPS PROGRAM. CARNEGIE POPS ORCHESTRA. O'CONNELL, CHARLES,  WALTER HENDL, DAVID BROCKMAN AND MAURICE ABRAVANEL (CONDUCTORS). COLUMBIA ML 4118. UNKNOWN RPM. YELLOW, ORANGE AND BLACK COVER. NO SLEEVE. a-DISC, b-JACKET. BR EDGE OF JACKET SPLIT. YELLOWED."
HSTR    5176,,,,,VANGUARD RECORDING SOCIETY,1955,,,"GOTTSCHALK: THE BANJO AND OTHER PIANO WORKS. 
LIST, EUGENE (PIANIST).
VANGUARD VRS-485. UNKNOWN RPM. AT TOP OF COVER: ""FOR PRESIDENT TRUMAN,/WITH PROFOUND ADMIRATION, AND HEARTFELT/THANKS/EUGENE LIST"". a-DISC, b-JACKET, c-SLEEVE. SEE CATALOG FOLDER. CORNERS AND EDGES WORN."
HSTR    5177,,,,,COLUMBIA RECORDS,1956,,,"MOZART: SONATAS NO. 12 IN F, NO. 13 IN B-FLAT, NO. 14 IN C MINOR, NO. 17 IN D. CASADESUS, ROBERT (PIANIST). COLUMBIA MASTERWORKS ML 5149. UNKNOWN RPM. BLACK AND WHITE PHOTO OF MAN ON COVER. GOLD AND WHITE PRINTING. a-DISC, b-JACKET, c-SLEEVE. L SIDE OF SLEEVE SPLIT."
HSTR    5178,,,,,COLUMBIA RECORDS,POST 1961,,,"PORTRAIT OF A SPLENDID AMERICAN: A DOCUMENTARY TRIBUTE TO DR. TOM DOOLEY.  COLUMBIA ML 5709. UNKNOWN RPM. RED, WHITE, AND BLUE COVER.  a-DISC, b-JACKET, c-SLEEVE. PAPER YELLOWED."
HSTR    5179,,,,,COLUMBIA RECORDS,1953,,,"LALO: SYMPHONIE ESPAGNOLE IN D MINOR OP. 21 / BRACH: VIOLIN CONCERTO IN G MINOR. STERN, ISAAC (VIOLINST). ORMANDY, EUGENE (CONDUCTOR). COLUMBIA MASTERWORKS ML 5097. UNKNOWN RPM. ON COVER: ""TO PRESIDENT HARRY S. TRUMAN--/...FROM A GRATEFUL/CITIZEN--/ISSAC STERN/1953"". a-DISC, b-JACKET, c-SLEEVE. SEE CATALOG FOLDER. PAPER YELLOWED. INSCRIPTION SMUDGED."
HSTR    5180,,,,,ROBINSON RECORDING LABS,05/ 9/1959,,,"HARRY TRUMAN BIRTHDAY DOCUMENTARY. ON TYPEWRITTEN LABEL: ""HARRY TRUMAN BIRTHDAY DOCUMENTARY/BROADCAST 7:05 P.M. MAY 9, 1959/ OVER [RADIO STATION] WIP--PHILADELPHIA"". ROBINSON RECORDING LABS. 33.3 RPM.  a-DISC, b-JACKET. JACKET YELLOWED."
HSTR    5181,,,,,URANIA RECORDS,,,,"PROKOFIEV: SYMPHONIC SUITE OF THE WALTZES. KANSAS CITY PHILHARMONIC. SCHWIEGER, HANS (CONDUCTOR). URANIA RECORDS UX130. UNKNOWN RPM. IN PLASTIC BAG. UNOPENED."
HSTR    5182,,,,,DECCA RECORDS,,,,"RUTH SLENCZYNSKA: A 25TH ANNIVERSARY PROGRAM.
SLENCZYNSKA, RUTH (PIANIST).
DECCA DL 10000. SAMPLE COPY. 33.3 RPM. IN PEN ON BACK, TR: ""HAPPY BIRTHDAY/MR. PRESIDENT! /BEST PERSONAL REGARDS/RUTH SLENCZYNSKA"". IN PLASTIC BAG. a-DISC, b-JACKET. DISC BROKEN INTO TWO PIECES. PAPER CLIP ON JACKET REMOVED AND DISCARDED 1986."
HSTR    5183,,,,,LONDON GRAMOPHONE CORP.,1951,,,"VON SUPPE: FAMOUS OVERTURES. THE LONDON PHILHARMONIC ORCHESTRA. SOLTI, GEORG (CONDUCTOR). LONDON LLP 352. 33.3 RPM. GREEN AND BLACK COVER. NO SLEEVE.  a-DISC, b-JACKET. BC EDGE SPLIT. JACKET WORN AND YELLOWED."
HSTR    5184,,,,,ANGEL RECORDS,,,,"MOZART: COMPLETE WORKS FOR PIANO SOLO, ALBUM I. GIESKING, WALTER (PIANIST). ANGEL RECORDS 35.068. 33.3 RPM. BEIGE COVER WITH BLACK AND BROWN PRINTING. NO SLEEVE.  a-DISC, b-JACKET. COVER SMUDGED AND YELLOWED."
HSTR    5185,,,,,ANGEL RECORDS,,,,"MOZART: COMPLETE WORKS FOR PIANO SOLO, ALBUM XI. GIESKING, WALTER (PIANIST). ANGEL RECORDS 35.078. 33.3 RPM. BEIGE COVER WITH BLACK AND BROWN PRINTING. NO SLEEVE.  a-DISC, b-JACKET. BR EDGE OF JACKET SPLIT."
HSTR    5187,,,,,VANGUARD RECORDING SOCIETY,1956,,,"GOTTSCHALK: THE BANJO, BAMBOULA, AND OTHER WORKS FOR PIANO. LIST, EUGENE (PIANIST). VANGUARD VRS-485. UNKNOWN RPM. RAINBOW-COLORED COVER WITH BLACK SPINE.  a-DISC, b-JACKET, c-SLEEVE. FOUND IN #5186 (ENVELOPE). SEE CATALOG FOLDER #5186. EDGES AND CORNERS WORN."
HSTR    5188,,,,,WESTMINSTER RECORDING CO.,1961,,,"SHOSTAKOVITCH: CONCERTOS FOR PIANO AND ORCHESTRA NOS. 1 AND 2. LIST, EUGENE (PIANIST) WITH THE BERLIN OPERA ORCHESTRA. JOCHUM, GEORG LUDWIG (CONDUCTOR). WESTMINSTER XWN-18960. 33.3 RPM. WHITE COVER WITH BLACK, PINK, AND GOLD PRINTING. a-DISC, b-JACKET, c-SLEEVE, d-POSTCARD. FOUND IN #5186 (ENVELOPE). COVER YELLOWED."
