Catalog #,Title,Composer,Performer,Genre,Label,Date,Media Type,RPM,Comments
HSTR     528,,,,,RCA VICTOR,,,,"BEETHOVEN: SONATA NO.14 IN C-SHARP MINOR ""MOONLIGHT""/PADEREWSKI MINUET IN G MAJ PADEREWSKI, IGNACE JAN (PIANIST). RCA VICTOR M 349. GREEN TEXTURED COVER, GREEN LEATHERETTE SPINE. PROGRAM DESCRIBES HISTORY AND MOVEMENTS. FOUND IN #462 (CABINET). a-ALBUM, b-c-DISCS, e-PROGRAM."
HSTR     530,,,,,NATIONAL BROADCASTING CO.,01/26/1953,,,"END OF AN ERA OF 1/16/53 (PARTS 3 & 4)  NBC RADIO-RECORDING DIVISION, NEWS BROADCAST. 33 1/3 RPM. WHITE AND BLUE ""NBC/ORTHACOUSTIC"" LABELS. MANILA SLEEVE. FOUND IN #462 (CABINET). a-DISC, b-SLEEVE. GOES WITH #531 (RECORD). GLUE HAS PERMEATED PAPER LABELS."
HSTR     531,,,,,NATIONAL BROADCASTING CO.,01/26/1953,,,"END OF AN ERA OF 1/16/53 (PARTS 1 & 2)  NBC RADIO-RECORDING DIVISION, NEWS BROADCAST. 33 1/3 RPM. WHITE AND BLUE ""NBC/ORTHACOUSTIC"" LABELS. MANILA SLEEVE. FOUND IN #462 (CABINET). a-DISC, b-SLEEVE. GOES WITH #530 (RECORD). GLUE HAS PERMEATED PAPER LABELS."
HSTR     532,,,,,U.S. DEPT. OF THE NAVY,05/30/1945,,,"DEDICATION OF HOSP[ITAL] PLANES TRUMAN, BESS (SPEAKER). NAVY DEPARTMENT BROADCAST OVER CBS RADIO. 78 RPM. YELLOW AND BROWN TYPED LABEL. PLAIN MANILA SLEEVE. FOUND IN #462 (CABINET). a-DISC, b-SLEEVE."
HSTR     533,,,,,CARNEGIE HALL RECORDING CO.,05/15/1947,,,"CHARMANT OISEAU / LA FAUVETTE TRUMAN, MARGARET (SOPRANO). CARNEGIE HALL AUDITORIUM TEST RECORD. TYPED WHITE LABEL. MANILA ""AUDIODISCS"" SLEEVE. FOUND IN #462 (CABINET). a-DISC, b-SLEEVE. WHITE FILM ON DISK."
HSTR     534,,,,,DAMON TRANSCRIPTION LAB.,03/16/1947,,,"CHARMANT L'OISEAU TRUMAN, MARGARET (SOPRANO). DETROIT SYMPHONY ORCHESTRA. VIC DAMON AUDITION TRANSCRIPTION, 1221 BALTIMORE AVE. KANSAS CITY. STEEL PHONOGRAPH NEEDLE TAPED TO SLEEVE, WITH ""FOR/MISS TRUMAN"". LABEL HAS ""ABC AIR-CHECK"" FOUND IN #462 (CABINET). a-DISC, b-SLEEVE. WHITE FILM ON DISK."
HSTR     535,,,,,BOULEVARD RECORDING STUDIO,,,,"WE HAIL MR. TRUMAN PEVSNER, LEO (COMPOSER). BOULEVARD RECORDING, 25 E. JACKSON BLVD. CHICAGO. 78 RPM. FROM: ""LEO PEVSNER & CO. 5 SO. WABASH AVE. CHICAGO"". TO: HST ""FEDERAL RESERVE BANK BLDG"". FOUND IN #462 (CABINET). a-DISC, b-SLEEVE. ADDRESS LABEL FORMERLY STAPLED TO SLEEVE, NOW DETACHED. SLEEVE BRITTLE."
HSTR     536,,,,,DAMON TRANSCRIPTION LAB.,03/16/1947,,,"CIELITO LINDO / THE LAST ROSE OF SUMMER TRUMAN, MARGARET (SOPRANO). DETROIT SYMPHONY ORCHESTRA. VIC DAMON AUDITION TRANSCRIPTION, 1221 BALTIMORE AVE. KANSAS CITY. STEEL PHONOGRAPH NEEDLE TAPED TO SLEEVE, ""FOR/MISS TRUMAN"". ON LABELS: ""ABC AIR-CHECK"". FOUND IN #462 (CABINET). a-DISC, b-SLEEVE. WHITE FILM ON DISK. SLEEVE BRITTLE. ONE LABEL DETACHED FROM DISK."
HSTR     537,,,,,,03/16/1947,,,"CIELITO LINDO - CHARMANT OISEAU / THE LAST ROSE OF SUMMER TRUMAN, MARGARET (SOPRANO). DETROIT SYMPHONY ORCHESTRA. BROADCAST RECORDING. YELLOW AND BLACK ""AUDIODISC"" LABELS WITH PENNED TITLE, ETC. FOUND IN #462 (CABINET). a-DISC, b-SLEEVE. WHITE FILM ON DISK."
HSTR     538,,,,,RCA VICTOR,,,,"INDIAN LOVE CALL / AH! SWEET MYSTERY OF LIFE MACDONALD, JEANETTE, AND NELSON EDDY, WITH ORCHESTRA. SHILKRET, NATHANIEL (CONDUCTOR). RCA VICTOR 4323. RED AND GOLD LABELS. FOUND IN #462 (CABINET). a-DISC, b-SLEEVE. WHITE FILM ON DISK. SLEEVE BRITTLE."
